var,para,mean,sd,2.5%,50%,97.5%,Rhat,n.eff,y
(Intercept),b[1],1.2536264703333333,0.12906416989311364,1.0092957500000002,1.2521550000000001,1.5090065,1.03,170,green_sunfish
length0,b[2],1.8405658706666663,0.6615174824136226,0.63409165,1.9168150000000002,2.8821975,2.71,13,green_sunfish
area_ucb,b[3],0.6622270746666666,0.18248736944619728,0.298508075,0.665457,1.01284025,1.29,70,green_sunfish
mean_temp,b[4],0.0032339495256333384,0.18994183968967812,-0.3837768,0.002383835,0.38052020000000003,1.06,89,green_sunfish
adj_density_bluehead_chub,b[5],-0.40873060012263296,1.0260958052687226,-2.3984592499999997,-0.3459635,1.4544077499999999,2.75,13,green_sunfish
adj_density_creek_chub,b[6],0.8860109749286669,0.7081982813011197,-0.5682155499999999,1.0667550000000001,1.995046,3.5,38,green_sunfish
adj_density_green_sunfish,b[7],-1.552446244472077,0.9715295623921733,-3.38886925,-1.252165,-0.11577742499999973,2.24,16,green_sunfish
adj_density_redbreast_sunfish,b[8],-1.4295359273766666,0.7001876924798134,-2.93241275,-1.38902,-0.10237689999999991,1.81,22,green_sunfish
int_bhc,b[9],-1.6365582507336665,1.0376446388299512,-3.5722820000000004,-1.598745,0.1554936000000001,2.77,10,green_sunfish
int_crc,b[10],-0.37483465860999976,0.9314374146888876,-1.87893725,-0.657868,1.46635825,4.09,27,green_sunfish
int_gsf,b[11],2.0928649943333335,1.0247786374522776,0.656998675,1.7372999999999998,4.0102465,2.18,14,green_sunfish
int_rbs,b[12],0.21105241243413334,0.8130047109056266,-1.5147214999999998,0.184211,1.9289632500000005,1.91,16,green_sunfish
